haxybaxy/portfolio | Vercel
IsraelChidera/focus-app | Firebase
jitsi/jitsi-meet | Vercel
jrieke/traingenerator | Streamlit
anuraghazra/github-readme-stats | Vercel
excalidraw/excalidraw | Vercel
supabase/supabase | AWS
medusajs/medusa | Digital Ocean
umami-software/umami | Vercel
nocodb/nocodb | AWS
outline/outline | AWS
chatwoot/chatwoot | AWS
n8n-io/n8n | Google Cloud
requarks/wiki | AWS
withastro/astro | Vercel
remotion-dev/remotion | AWS
strapi/strapi | Heroku
shadcn/ui | Vercel
getredash/redash | AWS
metabase/metabase | AWS
typeorm/typeorm | NPM
sequelize/sequelize | NPM
prisma/prisma-client-js | NPM
cal.com/cal.com | Vercel
doczjs/docz | Vercel
hasura/graphql-engine | AWS
appwrite/appwrite | AWS
directus/directus | AWS
pocketbase/pocketbase | AWS
baserow/baserow | AWS
formbricks/formbricks | Vercel
tldraw/tldraw | Vercel
trpc/trpc | Vercel
documenso/documenso | Vercel
novuhq/novu | AWS
posthog/posthog | AWS
plausible/analytics | AWS
paperless-ngx/paperless-ngx | AWS
immich-app/immich | AWS
photoprism/photoprism | AWS
listmonk/listmonk | AWS
mailcow/mailcow-dockerized | AWS
rocket.chat/rocket.chat | AWS
matrix-org/matrix-react-sdk | Google Cloud
vector-im/element-web | AWS
mattermost/mattermost | AWS
zulip/zulip | Digital Ocean
sdelements/lets-chat | AWS
chatwoot/chatwoot | AWS
papercups-io/papercups | AWS
chattermill/chat-demo | AWS
tinode/chat | AWS
GetStream/stream-chat-react | AWS
gitpod-io/gitpod | AWS
coder/code-server | Google Cloud
eclipse-theia/theia | AWS
jupyterlab/jupyterlab | Google Cloud
codepen/CodePen | AWS
sandpack/sandpack | CodeSandbox
stackblitz/webcontainer | Stackblitz
replit/replit | Replit
codesandbox/codesandbox-client | CodeSandbox
glitch-com/glitch | Glitch
codespaces/codespaces | GitHub
goormide/ide | AWS
streamlit/streamlit-aggrid | Streamlit
streamlit/streamlit-plotly | Streamlit
streamlit/streamlit-pandas-profiling | Streamlit
streamlit/streamlit-folium | Streamlit
streamlit/streamlit-bokeh | Streamlit
streamlit/streamlit-keras | Streamlit
streamlit/streamlit-tensorflow | Streamlit
docsifyjs/docsify | GitHub Pages
docusaurus/docusaurus | Netlify
mkdocs/mkdocs | GitHub Pages
vuepress/vuepress | Netlify
nextra/nextra | Vercel
gatsby/gatsby | Netlify
nuxt/content | Vercel
jekyll/jekyll | GitHub Pages
gohugoio/hugo | Netlify
11ty/eleventy | Netlify
gridsome/gridsome | Netlify
hexojs/hexo | GitHub Pages
